occ_group,edu_req,postings
"Farming, Fishing, and Forestry",None,37472
Food Preparation and Serving Related,None,1628436
Building and Grounds Cleaning and Maintenance,None,425059
Transportation and Material Moving,None,1583029
Legal,None,92331
"Arts, Design, Entertainment",None,318146
Construction and Extraction,None,307728
Sales and Related,None,2459003
Unknown,None,574807
Production,None,721278
"Installation, Maintenance, and Repair",None,737041
Military Specific,None,1734
Healthcare Practitioner and Technical,None,2393284
Personal Care and Service,None,95590
Protective Service,None,368026
Office and Administrative Support,None,1396291
Healthcare Support,None,661550
Computer and Mathematical,None,1837087
Management,None,1724182
Business and Financial Operations,None,1159540
Educational Instruction and Library,None,226565
"Life, Physical, and Social Science",None,191912
Architecture and Engineering,None,503861
Community and Social Service,None,214236
"Farming, Fishing, and Forestry",Any,3574
Food Preparation and Serving Related,Any,186270
Building and Grounds Cleaning and Maintenance,Any,76825
Transportation and Material Moving,Any,308221
Legal,Any,28182
"Arts, Design, Entertainment",Any,98407
Construction and Extraction,Any,96644
Sales and Related,Any,800547
Unknown,Any,197159
Production,Any,311423
"Installation, Maintenance, and Repair",Any,383982
Military Specific,Any,924
Healthcare Practitioner and Technical,Any,1345015
Personal Care and Service,Any,55521
Protective Service,Any,249232
Office and Administrative Support,Any,968475
Healthcare Support,Any,520283
Computer and Mathematical,Any,1663272
Management,Any,1591523
Business and Financial Operations,Any,1209302
Educational Instruction and Library,Any,256133
"Life, Physical, and Social Science",Any,287061
Architecture and Engineering,Any,810827
Community and Social Service,Any,372324
